setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
C,11,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.20921484384216812,1199.999999999999,46.78111406078361,0.0,1.0,0.01060425417093816,0.01060425417093816,0.0
C,11,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.20359661114355868,144.8053870071575,48.21230875195656,0.07564707315077171,8.286984514249024,0.004986021472328711,0.004986021472328711,0.0
C,11,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.19861058967122996,881.3432131959634,49.250088778744676,0.021156761755179745,1.3615581100412633,0.0,0.0,0.0
C,23,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.21958781969137603,52.81410433699119,80.38790328941955,0.0742061355146104,22.721203261697713,0.03928746794234919,0.03928746794234919,0.0
C,23,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.18030035174902684,1199.2413396149916,64.6158257035516,0.0003275003097244354,1.0006326166418833,0.0,0.0,0.0
C,23,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.8340959855889373,3.212380428956505,62.42274442392535,1.1463144079331853,373.5547599445939,0.6537956338399105,0.6537956338399105,0.0
C,23,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.8340959855889373,3.212380428956505,62.42274442392535,1.1463144079331853,373.5547599445939,0.6537956338399105,0.6537956338399105,0.0
C,23,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.325815289345309,57.54403585809424,10.244399086048917,1.9113793351358281,166.82875743338002,0.14551493759628217,0.14551493759628217,0.0
C,23,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.5476811540601093,1199.999999999999,26.608983968385477,0.0,1.0,0.3673808023110825,0.3673808023110825,0.0
C,23,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.5406648459610534,3.1636210429124465,171.595047188477,0.44889869218790107,379.31218173778075,0.36036449421202654,0.36036449421202654,0.0
C,23,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.18030035174902684,1199.2413396149916,64.6158257035516,0.0003275003097244354,1.0006326166418833,0.0,0.0,0.0
C,47,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.22331509050589976,36.547443598183555,40.46637940584265,0.0864986442780371,32.83403383656473,0.0010170769932809631,0.0010170769932809631,0.0
C,47,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.22331509050589976,36.547443598183555,40.46637940584265,0.0864986442780371,32.83403383656473,0.0010170769932809631,0.0010170769932809631,0.0
C,47,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.3188858545703925,9.110139102388587,56.71253558322883,0.9029618003551665,131.72136961785344,0.09658784105777368,0.09658784105777368,0.0
C,47,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.3188858545703925,9.110139102388587,56.71253558322883,0.9029618003551665,131.72136961785344,0.09658784105777368,0.09658784105777368,0.0
C,47,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.2576401718423413,57.07801440865474,19.77735626830775,1.6441434359989813,168.19085420828776,0.035342158329722484,0.035342158329722484,0.0
C,47,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.22050399957614422,1199.999999999999,34.4091127238076,0.0,1.0,-0.0017940139364745755,-0.0017940139364745755,0.0
C,47,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.3188858545703925,9.110139102388587,56.71253558322883,0.9029618003551665,131.72136961785344,0.09658784105777368,0.09658784105777368,0.0
C,47,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.2222980135126188,1197.0975191066248,43.95306233828983,0.0008268743859443495,1.0024245982397952,0.0,0.0,0.0
